sample_id,fov_id,country,anisotropy,area_fraction,baseline,blob_uri,confidence,contrast_ratio,diffuse_centroid_x,diffuse_centroid_y,diffuse_circularity,diffuse_halo_flag,diffuse_radius,gcs_fetch_s,neighbor_fetch_s,notes,peak,predicted_spot_base,predicted_spot_folded,present_base,present_folded,solidity,spot_truth,tags,time_anisotropy_s,time_diffuse_fov_s,time_initial_test_s
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,126,Liberia,0.5588,0.1638,18.8651,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG007x018.bmp,0.0,13.3928,0.1777,0.2846,0.7427,True,103.52,1.3878,2.8854,artifact,252.6553,False,True,False,True,0.9724,no,"Overexposed, Artifact",0.0078,0.0027,0.0562
LB-D3-2025-10-03-125352-2402169466D-thin-2-1,3,Liberia,0.191,0.3037,23.6853,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-125352-2402169466(D-thin)-2+.1_Blue/Images/IMG001x003.bmp,0.8729,5.5045,0.5532,0.1483,0.5267,False,118.38,1.4922,0.0,diffuse,130.3753,True,True,True,True,0.9659,yes,Overexposed,0.0115,0.0022,0.0563
LB-D3-2025-10-03-130859-250916865-D-thin-1-4,236,Liberia,0.0547,0.3918,50.04,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-130859-250916865-(D-thin)-1+.4_Blue/Images/IMG014x002.bmp,0.6389,4.5918,0.3119,0.3513,0.8016,False,152.3,1.461,0.0,,229.7712,True,True,True,True,0.9964,yes,Overexposed,0.0214,0.0026,0.0542
LB-D3-2025-10-22-131729-250917745-D-thin-2-3,134,Liberia,0.2918,0.7411,63.2511,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-22/2025-10-22-131729-250917745-(D-thin)-2+.3_Blue/Images/IMG008x008.bmp,0.4485,3.849,0.4836,0.4368,0.8557,False,201.41,2.0359,0.0,double,243.4552,True,True,True,True,0.99,yes,Overexposed,0.0361,0.003,0.0556
LB-D3-2025-10-22-132316-2411189646-D-thin-1-4,135,Liberia,0.0,0.6144,49.1913,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-22/2025-10-22-132316-2411189646-(D-thin)-1+.4_Blue/Images/IMG008x009.bmp,0.1248,2.5868,0.3557,0.3539,0.8459,True,155.69,1.543,2.7661,diffuse,127.2476,False,True,False,True,0.9829,yes,Overexposed,0.0,0.0025,0.0635
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,122,Liberia,0.0,0.8153,92.7613,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-22/2025-10-22-140622-250917738-(D-thin)-1+.1_Blue/Images/IMG007x014.bmp,0.1659,2.747,0.5742,0.4815,0.7711,True,205.71,1.5306,3.2133,double,254.8111,False,True,False,True,0.9966,yes,Overexposed,0.0,0.0025,0.0553
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,238,Liberia,0.1583,0.2494,9.5512,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-22/2025-10-22-140622-250917738-(D-thin)-1+.1_Blue/Images/IMG014x004.bmp,1.0,8.1304,0.1722,0.7753,0.7473,False,91.06,1.9281,0.0,,77.6547,True,True,True,True,0.997,yes,Overexposed,0.0151,0.0024,0.0515
LB-D3-2025-10-24-113736-250918214-D-thin-2-3,96,Liberia,0.0,0.2336,15.7771,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-24/2025-10-24-113736-250918214-(D-thin)-2+.3_Blue/Images/IMG008x012.bmp,0.0924,2.4604,0.0,0.0,0.0,False,0.0,2.5637,0.0,,38.8185,False,False,False,False,0.6899,yes,Overexposed,0.0,0.0011,0.0524
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,3,Liberia,0.0,0.6463,48.4933,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-24/2025-10-24-132012-25046898-(D-thin)-1+.4_Blue/Images/IMG001x003.bmp,0.0888,2.4465,0.352,0.7199,0.8054,True,129.44,1.9472,3.8082,diffuse,118.6381,False,True,False,True,0.7575,yes,Overexposed,0.0,0.0021,0.0517
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,305,Liberia,0.0787,0.2362,33.1537,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-24/2025-10-24-132012-25046898-(D-thin)-1+.4_Blue/Images/IMG017x017.bmp,0.8115,5.2648,0.2291,0.2637,0.771,False,114.37,1.9716,0.0,,174.5463,True,True,True,True,0.9973,yes,Overexposed,0.014,0.0026,0.0508
