idx,n_cells,coverage_fraction,rouleaux_fraction,n_isolated,crenation_fraction,median_area,area_cv
35,3959,0.6975602040816327,0.15029047739328114,561,0.040998217468805706,344.0,12.376682520087158
36,3901,0.6988251275510204,0.1427839015637016,558,0.014336917562724014,349.0,17.469023884693915
37,3490,0.6358952806122449,0.1180515759312321,989,0.05358948432760364,224.0,23.799412066467657
38,3583,0.6598303571428571,0.10856823890594473,1064,0.02631578947368421,244.0,25.770940129943952
39,4082,0.5496132653061224,0.10950514453699167,959,0.027111574556830033,283.0,11.656393335490263
40,4442,0.5650262755102041,0.11436289959477713,1024,0.0302734375,299.0,10.284979096657805
41,4946,0.4653469387755102,0.11868176304084109,1206,0.04228855721393035,298.0,3.5776699876639526
42,5200,0.5429367346938776,0.12192307692307693,1158,0.03367875647668394,295.0,5.804646477209721
43,4846,0.5150988520408163,0.11060668592653736,1230,0.027642276422764227,281.5,6.700783757102491
44,5201,0.5510489795918367,0.12862910978657952,1153,0.032090199479618386,299.0,6.383578560751062
45,4536,0.5450623724489796,0.1128747795414462,1037,0.04339440694310511,292.0,11.656318683490952
46,4529,0.507290306122449,0.10841245308015014,1044,0.05268199233716475,319.0,7.387007847354947
47,4926,0.5214690051020409,0.12119366626065774,1075,0.030697674418604652,317.0,6.753833003263991
48,4449,0.5946776785714286,0.11440773207462351,1004,0.03286852589641434,309.0,10.86736901170291
49,4920,0.5653862244897959,0.1264227642276423,1094,0.0283363802559415,313.0,8.329943123814347
50,4411,0.5947320153061224,0.1237814554522784,811,0.03329223181257707,332.0,8.142478541285449
51,4374,0.5872423469387755,0.13008687700045724,720,0.029166666666666667,354.0,11.559351173799984
52,4234,0.619510331632653,0.12588568729333963,797,0.04140526976160602,329.0,10.712239165872404
53,3683,0.6938529336734693,0.12978550095031224,681,0.02643171806167401,316.0,13.328297415201689
54,3802,0.7120795918367347,0.12730142030510258,633,0.018957345971563982,317.5,13.092140821871993
55,3362,0.5679266581632653,0.11392028554431886,708,0.06073446327683616,316.0,11.717044189519918
56,3755,0.5705599489795918,0.11504660452729694,801,0.02746566791510612,329.0,12.213592004990149
57,4005,0.5518591836734694,0.11635455680399501,825,0.02666666666666667,340.0,9.607660802478247
58,3619,0.47370522959183675,0.12351478308925118,654,0.047400611620795105,411.0,4.2126443148637405
59,3408,0.4850463010204082,0.13615023474178403,516,0.03488372093023256,483.0,9.143787507499038
60,3313,0.5849413265306123,0.10866284334440085,757,0.021136063408190225,338.0,23.314632495397053
61,3508,0.5553386479591836,0.10490307867730901,897,0.028985507246376812,285.0,13.764651881990165
62,3904,0.5433178571428572,0.12115778688524591,810,0.02345679012345679,345.0,6.8381349892252326
63,3711,0.5362179846938776,0.1099434114793856,833,0.028811524609843937,330.0,8.67042309573503
64,4181,0.48569362244897957,0.11624013393924898,771,0.02464332036316472,382.0,3.440842585553384
65,3370,0.5610580357142857,0.10385756676557864,913,0.038335158817086525,298.0,17.038548292215076
66,3836,0.5663461734693878,0.11783107403545359,895,0.02905027932960894,320.5,20.405592230526466
67,4169,0.5442934948979592,0.11825377788438475,837,0.021505376344086023,354.0,6.599102270012232
68,3811,0.5917427295918367,0.11440566780372606,763,0.01834862385321101,354.0,15.690777583397585
69,4222,0.5273829081632653,0.13098057792515397,744,0.0228494623655914,409.0,5.075504819320434
70,4332,0.5760349489795918,0.12465373961218837,789,0.029150823827629912,377.0,23.315735462995228
71,3693,0.6288442602040817,0.11508258868128893,826,0.020581113801452784,318.0,11.447343898817008
72,3738,0.5853849489795918,0.12787586944890317,652,0.019938650306748466,397.0,8.940829317318972
73,3600,0.4724331632653061,0.15555555555555556,513,0.025341130604288498,643.0,3.8506374383088118
74,3584,0.4553237244897959,0.15736607142857142,475,0.018947368421052633,672.0,1.9247763968293887
75,3264,0.4297252551020408,0.16207107843137256,414,0.024154589371980676,696.0,3.3240078143487146
76,3169,0.389772193877551,0.15462290943515306,482,0.012448132780082987,730.0,1.384335858283708
77,3135,0.37955102040816324,0.1569377990430622,461,0.02386117136659436,735.0,1.1388362440497244
78,3569,0.42901747448979594,0.1602689829083777,474,0.016877637130801686,663.0,1.4683767368104799
79,3485,0.406596556122449,0.13658536585365855,541,0.031423290203327174,539.0,1.8173396502116763
80,3617,0.45290484693877553,0.16394802322366603,494,0.02834008097165992,571.0,3.5869848030011102
81,3569,0.43759885204081633,0.13253012048192772,629,0.02702702702702703,454.0,3.8607651541247465
82,3450,0.4122216836734694,0.1310144927536232,570,0.021052631578947368,563.5,2.643187146199721
83,3874,0.4344827806122449,0.1303562209602478,694,0.01585014409221902,532.0,2.4322448053364547
84,4347,0.4594623724489796,0.13526570048309178,737,0.018995929443690638,456.0,3.245918355631816
85,4735,0.45710867346938777,0.146779303062302,678,0.019174041297935103,486.0,1.580071229340085
86,4534,0.46648380102040815,0.14446404940449933,646,0.009287925696594427,464.0,2.074709899049675
87,4480,0.46130395408163266,0.15535714285714286,678,0.014749262536873156,524.0,3.3204205933674813
88,4783,0.4995579081632653,0.15387831904662347,624,0.00641025641025641,498.0,3.197779596013974
89,4300,0.5127526785714286,0.14325581395348838,564,0.0070921985815602835,454.0,3.9539773474255733
90,4692,0.4815099489795918,0.1517476555839727,586,0.008532423208191127,478.0,4.3193868778463855
91,2743,0.327893112244898,0.13671162960262487,473,0.010570824524312896,756.0,1.1871253286004717
92,2549,0.3104016581632653,0.14240878775990584,459,0.010893246187363835,765.0,1.0272926697762312
93,2564,0.3072308673469388,0.12129485179407176,468,0.014957264957264958,758.0,1.278467014102991
94,2403,0.279996556122449,0.12983770287141075,446,0.006726457399103139,767.0,0.96815205251563
95,2398,0.27969387755102043,0.13261050875729774,410,0.014634146341463415,769.0,0.8037872198922125
96,3004,0.3412390306122449,0.14047936085219706,487,0.006160164271047228,744.0,0.9757823753545652
97,2715,0.3412774234693878,0.15138121546961325,449,0.0200445434298441,759.0,1.6229565764405334
98,3022,0.35420561224489794,0.16743878226340173,449,0.0200445434298441,730.0,1.1906132063062702
99,2529,0.3309890306122449,0.15183867141162516,368,0.07608695652173914,780.0,1.194546621630948
100,2625,0.31245267857142855,0.15428571428571428,356,0.025280898876404494,773.0,0.9669110059607297
101,2883,0.3278734693877551,0.1657995143947277,432,0.009259259259259259,727.0,1.0172296380369024
102,3275,0.36277091836734693,0.14259541984732824,519,0.019267822736030827,664.0,1.6768483466869766
103,3493,0.3800139030612245,0.13655883194961352,582,0.00859106529209622,651.0,1.414192506627869
104,3323,0.39188954081632654,0.15287390911826662,470,0.01702127659574468,681.0,1.9318882457892745
105,3316,0.3966033163265306,0.14414957780458384,535,0.014953271028037384,641.0,2.6585270558931096
106,3651,0.4371496173469388,0.14626129827444537,529,0.026465028355387523,589.0,4.394663255518626
107,3791,0.43799464285714285,0.1440253231337378,597,0.023450586264656615,552.0,3.74400781063335
108,3543,0.4178377551020408,0.13830087496471916,625,0.0112,575.0,4.787296930331731
109,4286,0.5007470663265307,0.14652356509566028,668,0.020958083832335328,449.5,3.8885353803523315
110,5061,0.49501186224489796,0.11598498320490022,1283,0.028059236165237724,307.0,23.732616235526155
111,2823,0.3893547193877551,0.1392136025504782,427,0.03044496487119438,639.0,1.7987212400033585
112,2852,0.37626875,0.1458625525946704,436,0.01834862385321101,588.0,2.3712406536389166
113,2733,0.38810701530612246,0.14270032930845225,445,0.03146067415730337,570.0,3.6535580247536914
114,3006,0.47399349489795917,0.13439787092481703,466,0.034334763948497854,477.0,6.047479077071088
115,3442,0.46435089285714287,0.13654851830331202,567,0.03527336860670194,430.5,8.926018819973741
116,4095,0.4543905612244898,0.11452991452991453,898,0.031180400890868598,344.0,4.235404192829339
117,3850,0.4283077806122449,0.09064935064935065,1143,0.07174103237095363,250.0,12.187241158740886
118,2719,0.3402072704081633,0.1250459727841118,513,0.0682261208576998,602.0,1.8455903892217445
119,2775,0.3625906887755102,0.13873873873873874,481,0.04573804573804574,578.0,2.347528628680368
120,2580,0.4450297193877551,0.13604651162790699,455,0.02857142857142857,625.5,7.233431947672493
121,2720,0.40241020408163264,0.13419117647058823,456,0.03728070175438596,667.5,1.954565453352305
122,3026,0.3711728316326531,0.13681427627230666,510,0.023529411764705882,645.0,1.370356563609471
123,3027,0.401590306122449,0.13214403700033037,509,0.0275049115913556,608.0,4.671056594125788
124,3561,0.48508839285714284,0.12889637742207244,595,0.040336134453781515,499.0,6.712179320231534
125,4005,0.4941968112244898,0.1470661672908864,579,0.013816925734024179,503.0,3.27511948005679
126,4169,0.46493979591836737,0.13984168865435356,677,0.011816838995568686,510.0,2.304266261728604
127,3233,0.45780880102040816,0.1586761521806372,447,0.008948545861297539,746.0,2.298316000365881
128,2919,0.4974015306122449,0.15313463514902365,402,0.01990049751243781,738.0,7.151526550831447
129,3379,0.4689455357142857,0.15122817401598107,471,0.025477707006369428,692.0,2.777669858513481
130,3302,0.4096043367346939,0.16535433070866143,464,0.010775862068965518,734.0,1.5272933738284777
131,3263,0.3856483418367347,0.14434569414649095,528,0.026515151515151516,720.0,1.5471385342641182
132,3137,0.41375905612244895,0.16640102008288174,425,0.009411764705882352,726.0,1.9143590181061771
133,2510,0.35307908163265306,0.12390438247011952,470,0.010638297872340425,639.0,7.201234654517441
134,2167,0.2577536989795918,0.127365020766036,405,0.022222222222222223,731.0,1.1414831703462522
135,2156,0.23546135204081634,0.1261595547309833,416,0.019230769230769232,693.0,1.1940514069507273
136,1988,0.21082895408163266,0.12877263581488935,423,0.004728132387706856,732.0,0.6002879762078657
137,2325,0.2508989795918367,0.12043010752688173,502,0.00199203187250996,729.0,0.7203792435381055
138,2356,0.27813099489795917,0.1298811544991511,454,0.004405286343612335,751.0,0.9124175716769196
139,2796,0.30759323979591835,0.12195994277539342,590,0.020338983050847456,698.0,1.8957995821515456
140,3005,0.31987920918367346,0.13211314475873545,531,0.0018832391713747645,713.0,1.1236441534931398
141,2508,0.27449145408163267,0.1343700159489633,512,0.01171875,735.5,0.8746489461251294
142,2522,0.33531122448979594,0.13560666137985725,461,0.008676789587852495,723.0,3.4886766504744395
143,2625,0.3814011479591837,0.1417142857142857,454,0.006607929515418502,709.0,4.159493836741446
144,2817,0.3990005102040816,0.1455449059282925,466,0.0,708.0,3.974049973449634
145,2663,0.46439744897959184,0.15959444235824258,387,0.056847545219638244,764.0,3.2447683630805164
146,2766,0.4523170918367347,0.1576283441793203,333,0.03903903903903904,787.0,2.9917979877503464
147,3047,0.4366487244897959,0.16869051526091236,398,0.02763819095477387,755.0,1.6320888735078514
