idx,density_label,crowding_label,crenation_flag,coverage_fraction,rouleaux_fraction,crenation_fraction,n_cells,n_isolated
85,monolayer,rouleaux,normal,0.45710867346938777,0.146779303062302,0.019174041297935103,4735,678
86,monolayer,rouleaux,normal,0.46648380102040815,0.14446404940449933,0.009287925696594427,4534,646
87,monolayer,heavy rouleaux,normal,0.46130395408163266,0.15535714285714286,0.014749262536873156,4480,678
88,monolayer,heavy rouleaux,normal,0.4995579081632653,0.15387831904662347,0.00641025641025641,4783,624
89,monolayer,rouleaux,normal,0.5127526785714286,0.14325581395348838,0.0070921985815602835,4300,564
90,monolayer,heavy rouleaux,normal,0.4815099489795918,0.1517476555839727,0.008532423208191127,4692,586
91,sparse,some rouleaux,normal,0.327893112244898,0.13671162960262487,0.010570824524312896,2743,473
92,sparse,rouleaux,normal,0.3104016581632653,0.14240878775990584,0.010893246187363835,2549,459
93,sparse,slight rouleaux,normal,0.3072308673469388,0.12129485179407176,0.014957264957264958,2564,468
94,sparse,slight rouleaux,normal,0.279996556122449,0.12983770287141075,0.006726457399103139,2403,446
95,sparse,some rouleaux,normal,0.27969387755102043,0.13261050875729774,0.014634146341463415,2398,410
96,sparse,rouleaux,normal,0.3412390306122449,0.14047936085219706,0.006160164271047228,3004,487
97,sparse,heavy rouleaux,normal,0.3412774234693878,0.15138121546961325,0.0200445434298441,2715,449
98,sparse,heavy rouleaux,normal,0.35420561224489794,0.16743878226340173,0.0200445434298441,3022,449
99,sparse,heavy rouleaux,flagged,0.3309890306122449,0.15183867141162516,0.07608695652173914,2529,368
100,sparse,heavy rouleaux,normal,0.31245267857142855,0.15428571428571428,0.025280898876404494,2625,356
101,sparse,heavy rouleaux,normal,0.3278734693877551,0.1657995143947277,0.009259259259259259,2883,432
102,sparse,rouleaux,normal,0.36277091836734693,0.14259541984732824,0.019267822736030827,3275,519
103,sparse,some rouleaux,normal,0.3800139030612245,0.13655883194961352,0.00859106529209622,3493,582
104,sparse,heavy rouleaux,normal,0.39188954081632654,0.15287390911826662,0.01702127659574468,3323,470
105,sparse,rouleaux,normal,0.3966033163265306,0.14414957780458384,0.014953271028037384,3316,535
106,monolayer,rouleaux,normal,0.4371496173469388,0.14626129827444537,0.026465028355387523,3651,529
107,monolayer,rouleaux,normal,0.43799464285714285,0.1440253231337378,0.023450586264656615,3791,597
108,sparse,some rouleaux,normal,0.4178377551020408,0.13830087496471916,0.0112,3543,625
109,monolayer,rouleaux,normal,0.5007470663265307,0.14652356509566028,0.020958083832335328,4286,668
110,monolayer,no rouleaux,normal,0.49501186224489796,0.11598498320490022,0.028059236165237724,5061,1283
111,sparse,some rouleaux,normal,0.3893547193877551,0.1392136025504782,0.03044496487119438,2823,427
112,sparse,rouleaux,normal,0.37626875,0.1458625525946704,0.01834862385321101,2852,436
113,sparse,rouleaux,normal,0.38810701530612246,0.14270032930845225,0.03146067415730337,2733,445
114,monolayer,some rouleaux,normal,0.47399349489795917,0.13439787092481703,0.034334763948497854,3006,466
115,monolayer,some rouleaux,normal,0.46435089285714287,0.13654851830331202,0.03527336860670194,3442,567
116,monolayer,no rouleaux,normal,0.4543905612244898,0.11452991452991453,0.031180400890868598,4095,898
117,monolayer,no rouleaux,flagged,0.4283077806122449,0.09064935064935065,0.07174103237095363,3850,1143
118,sparse,slight rouleaux,flagged,0.3402072704081633,0.1250459727841118,0.0682261208576998,2719,513
119,sparse,some rouleaux,normal,0.3625906887755102,0.13873873873873874,0.04573804573804574,2775,481
120,monolayer,some rouleaux,normal,0.4450297193877551,0.13604651162790699,0.02857142857142857,2580,455
121,sparse,some rouleaux,normal,0.40241020408163264,0.13419117647058823,0.03728070175438596,2720,456
122,sparse,some rouleaux,normal,0.3711728316326531,0.13681427627230666,0.023529411764705882,3026,510
123,sparse,some rouleaux,normal,0.401590306122449,0.13214403700033037,0.0275049115913556,3027,509
124,monolayer,slight rouleaux,normal,0.48508839285714284,0.12889637742207244,0.040336134453781515,3561,595
125,monolayer,rouleaux,normal,0.4941968112244898,0.1470661672908864,0.013816925734024179,4005,579
126,monolayer,rouleaux,normal,0.46493979591836737,0.13984168865435356,0.011816838995568686,4169,677
127,monolayer,heavy rouleaux,normal,0.45780880102040816,0.1586761521806372,0.008948545861297539,3233,447
128,monolayer,heavy rouleaux,normal,0.4974015306122449,0.15313463514902365,0.01990049751243781,2919,402
129,monolayer,heavy rouleaux,normal,0.4689455357142857,0.15122817401598107,0.025477707006369428,3379,471
130,sparse,heavy rouleaux,normal,0.4096043367346939,0.16535433070866143,0.010775862068965518,3302,464
131,sparse,rouleaux,normal,0.3856483418367347,0.14434569414649095,0.026515151515151516,3263,528
132,sparse,heavy rouleaux,normal,0.41375905612244895,0.16640102008288174,0.009411764705882352,3137,425
133,sparse,slight rouleaux,normal,0.35307908163265306,0.12390438247011952,0.010638297872340425,2510,470
134,sparse,slight rouleaux,normal,0.2577536989795918,0.127365020766036,0.022222222222222223,2167,405
135,sparse,slight rouleaux,normal,0.23546135204081634,0.1261595547309833,0.019230769230769232,2156,416
