idx,density_label,crowding_label,crenation_flag,coverage_fraction,rouleaux_fraction,crenation_fraction,n_cells,n_isolated
280,dense,some rouleaux,normal,0.5938190051020408,0.13559322033898305,0.030439684329199548,4779,887
281,slightly dense,rouleaux,normal,0.5574977040816327,0.1443478260869565,0.016464471403812825,5750,1154
282,dense,slight rouleaux,normal,0.6125880102040816,0.122497308934338,0.01652892561983471,4645,968
283,dense,slight rouleaux,normal,0.6108252551020408,0.12216884008236102,0.02865612648221344,4371,1012
284,very dense,slight rouleaux,normal,0.6392774234693878,0.12505932605600378,0.023076923076923078,4214,910
285,dense,no rouleaux,normal,0.6143163265306123,0.10726474890297416,0.030434782608695653,4102,1150
286,very dense,no rouleaux,normal,0.6690191326530612,0.10438772583882994,0.025703794369645042,3487,817
287,very dense,no rouleaux,normal,0.6896998724489796,0.09273614699971289,0.01567398119122257,3483,957
288,very dense,no rouleaux,normal,0.684289668367347,0.09753196550698781,0.03184713375796178,3363,942
289,slightly dense,rouleaux,normal,0.5701196428571429,0.1464214168639592,0.04307974335472044,5491,1091
290,slightly dense,heavy rouleaux,normal,0.551986224489796,0.16859300354445986,0.03666666666666667,6489,1200
291,slightly dense,heavy rouleaux,normal,0.5671081632653061,0.15874101950051317,0.037069726390114736,5846,1133
292,dense,rouleaux,normal,0.6264984693877551,0.14577324162414024,0.03669724770642202,4507,981
293,slightly dense,heavy rouleaux,normal,0.5687588010204082,0.15298832549224603,0.02663230240549828,5739,1164
294,slightly dense,heavy rouleaux,normal,0.5595547193877551,0.1606524962926347,0.024955436720142603,6069,1122
295,slightly dense,heavy rouleaux,normal,0.5835164540816327,0.15188565524367142,0.02106318956870612,5807,997
296,dense,rouleaux,normal,0.5960544642857143,0.1400477853335784,0.015180265654648957,5441,1054
297,slightly dense,heavy rouleaux,normal,0.5635349489795919,0.14912581419266369,0.029837251356238697,5834,1106
298,dense,rouleaux,normal,0.6107548469387755,0.1427710843373494,0.02267818574514039,4980,926
299,dense,rouleaux,normal,0.5894163265306123,0.13937753721244925,0.02576808721506442,5173,1009
300,dense,some rouleaux,normal,0.5960496173469387,0.1366920523335286,0.025358324145534728,5121,907
301,dense,some rouleaux,normal,0.5996734693877551,0.13028906577293675,0.021235521235521235,4774,1036
302,very dense,some rouleaux,normal,0.6396192602040817,0.13055428309665598,0.025089605734767026,4366,837
303,dense,slight rouleaux,normal,0.6233769132653061,0.12258357971344098,0.035196687370600416,4397,966
304,very dense,no rouleaux,normal,0.7291053571428572,0.11547826086956521,0.022388059701492536,2875,670
305,very dense,no rouleaux,normal,0.7337506377551021,0.1143827859569649,0.026030368763557483,2649,461
306,very dense,no rouleaux,normal,0.6701316326530612,0.1143486777668952,0.01873536299765808,4084,854
307,monolayer,heavy rouleaux,normal,0.5396571428571428,0.15365111561866127,0.04714828897338403,5916,1315
308,slightly dense,heavy rouleaux,normal,0.5440758928571429,0.1544056868903951,0.039525691699604744,6049,1265
309,slightly dense,some rouleaux,normal,0.561732525510204,0.13713433948201975,0.047323506594259115,5367,1289
310,slightly dense,heavy rouleaux,normal,0.5766567602040816,0.14731369150779897,0.04516129032258064,5193,1085
311,slightly dense,rouleaux,normal,0.5642929846938776,0.14411441144114412,0.036574487065120426,5454,1121
312,slightly dense,heavy rouleaux,normal,0.5731806122448979,0.16395129480363574,0.029143897996357013,5831,1098
313,dense,rouleaux,normal,0.5851542091836734,0.14410565158283162,0.04202483285577841,5149,1047
314,slightly dense,heavy rouleaux,normal,0.5662146683673469,0.15073154134059205,0.027881040892193308,5878,1076
315,slightly dense,rouleaux,normal,0.5762645408163265,0.14722269120378187,0.016853932584269662,5923,1068
316,dense,some rouleaux,normal,0.5879265306122449,0.13452065176203107,0.018292682926829267,5278,984
317,dense,some rouleaux,normal,0.5887367346938776,0.13732736821630034,0.030798845043310877,5141,1039
318,dense,slight rouleaux,normal,0.5998397959183673,0.12487163688642432,0.029151943462897525,4869,1132
319,dense,some rouleaux,normal,0.6105589285714286,0.1360217300459674,0.027808676307007785,4786,899
320,dense,no rouleaux,normal,0.6153908163265306,0.11287645245435143,0.02277227722772277,4217,1010
321,very dense,no rouleaux,normal,0.6518616071428571,0.11691850383948477,0.026615969581749048,4037,789
322,very dense,slight rouleaux,normal,0.684264030612245,0.11946107784431138,0.018226002430133656,3340,823
323,very dense,no rouleaux,normal,0.7233922193877551,0.09608900876601484,0.02621231979030144,2966,763
324,very dense,no rouleaux,normal,0.6869048469387755,0.11679032701291564,0.026685393258426966,3639,712
